AnexId,ContractID,AnexStart,AnexEnd,VAT%,Price/Unit,YearlyBasePrice
StromJak138-19/1,StromJak138-19,2019-10-01,2020-06-30,19,0.2318,219
StromJak138-19/2,StromJak138-19,2020-07-01,2020-09-30,16,0.2318,219
GasJak138-19,GasJak138-19,2019-10-01,2020-09-30,19,0.0556,86.891
StromJak138-20/1,StromJak138-20,2020-10-02,2020-12-31,16,0.2436,140.17
StromJak138-20/2,StromJak138-20,2021-01-01,2021-10-01,19,0.2436,140.17
GasJak138-20,GasJak138-20,2020-10-01,2021-10-01,19,0.06,116.2437
StromKar39-21/1,StromKar39-21,2021-10-11,2022-06-30,19,0.24761,140.17
StromKar39-21/2,StromKar39-21,2022-07-01,2022-10-10,19,0.21038,140.17
GasKar39-21/1,GasKar39-21,2021-10-11,2022-09-30,19,0.0689,146.974789916
GasKar39-21/2,GasKar39-21,2022-10-01,2022-10-05,7,0.0689,146.974789916
GasKar39-21/3,GasKar39-21,2022-10-06,2022-10-10,7,0.06949,146.974789916
StromKar39-22/1,StromKar39-22,2022-10-11,2022-12-31,19,0.2691,95.8
StromKar39-22/2,StromKar39-22,2023-01-01,2023-02-28,19,0.4179,95.8
StromKar39-22/3,StromKar39-22,2023-03-01,2023-10-05,19,0.33613445378,95.8
StromKar39-22/4,StromKar39-22,2023-10-06,2023-10-12,19,0.4179,95.8
GasKar39-22/1,GasKar39-22,2022-10-11,2022-10-31,7,0.1005,118.7
GasKar39-22/2,GasKar39-22,2022-11-01,2023-02-28,7,0.1376,118.7
GasKar39-22/3,GasKar39-22,2023-03-01,2023-10-05,7,0.11215,118.7
StromKar39-23/1,StromKar39-23,2023-10-13,2024-10-12,19,0.29546218487,77.546218487
GasKar39-23/1,GasKar39-23,2023-10-06,2024-10-05,7,0.1,89.046728972
StromKar39-24/1,StromKar39-24,2024-10-13,2025-10-12,19,0.3409,196.26
GasKar39-24/1,GasKar39-24,2024-10-06,2025-10-05,7,0.1125,143.30
